"CMCname	Garbage",Symbol
whitecoin,XWC
exclusivecoin,EXCL
kingn-coin,KNC
briacoin,BRIA
corgicoin,CORG
elysium,ELS
clearpoll,POLL
dynamic,DYN
geertcoin,GEERT
litecoin-plus,LCP
anarchistsprime,ACP
concoin,CONX
foldingcoin,FLDC
sphere,SPHR
moeda-loyalty-points,MDA
comet,CMT
belacoin,BELA
billarycoin,BLRY
vericoin,VRC
e-dinar-coin,EDR
veriumreserve,VRM
earthcoin,EAC
rsgpcoin,RSGP
cannation,CNNC
synergy,SNRG
flaxscript,FLAX
trustplus,TRUST
ethereumcash,ECASH
signatum,SIGT
authorship,ATS
digital-developers-fund,DDF
iconic,ICON
aventus,AVT
tekcoin,TEK
cryptojacks,CJ
theresa-may-coin,MAY
cachecoin,CACH
kolion,KLN
primalbase,PBT
808coin,808
b3coin,B3
photon,PHO
gcoin,GCN
bunnycoin,BUN
dix-asset,DIX
fluttercoin,FLT
bitbean,BITB
redcoin,RED
enigma,XNG
bnrtxcoin,BNX
milocoin,MILO
slevin,SLEVIN
benjirolls,BENJI
solarflarecoin,SFC
luna-coin,LUNA
doubloon,BOAT
bitcoal,COAL
aerium,AERM
fuzzballs,FUZZ
exchangen,EXN
virta-unique-coin,VUC
coinonat,CXT
chancoin,4CHN
kayicoin,KAYI
mutual-coin,MUT
hexx,HXX
ammo-rewards,AMMO
marijuanacoin,MAR
litecoin-ultra,LTCU
blakestar,BLAS
prime-xi,PXI
gapcoin,GAP
ethereum-dark,ETHD
coinonatx,XCXT
vaperscoin,VPRC
zcash-gold,ZCG
digicube,CUBE
bitcoin-red,BTCRED
petrodollar,XPD
campuscoin,CMPCO
litebitcoin,LBTC
evergreencoin,EGC
pioneer-coin,PCOIN
sooncoin,SOON
moin,MOIN
zetacoin,ZET
influxcoin,INFX
unitus,UIS
netcoin,NET
daxxcoin,DAXX
unbreakablecoin,UNB
parkbyte,PKB
xgox,XGOX
condensate,RAIN
e-gulden,EFL
buzzcoin,BUZZ
regalcoin,REC
breakout-stake,BRX
breakout,BRK
europecoin,ERC
linda,LINDA
goldcoin,GLD
korecoin,KORE
ethereum-blue,BLUE
auroracoin,AUR
dotcoin,DOT
pesetacoin,PTC
hyperstake,HYP
artbyte,ABY
dopecoin,DOPE
startcoin,START
trueflip,TFL
pandacoin-pnd,PND
curecoin,CURE
vcash,XVC
spreadcoin,SPR
atbcoin,ATB
cannabiscoin,CANN
energycoin,ENRG
swarm-city,SWT
databits,DTB
putincoin,PUT
nushares,NSR
argus,ARGUS
coimatic-3,CTIC3
cthulhu-offerings,OFF
bipcoin,BIP
leacoin,LEA
gold-pressed-latinum,GPL
allion,ALL
acoin,ACOIN
gpu-coin,GPU
paycon,CON
globalboost-y,BSTY
monkey-project,MONK
icobid,ICOB
eurocoin,EUC
sterlingcoin,SLG
soilcoin,SOIL
dalecoin,DALC
argentum,ARG
eryllium,ERY
motocoin,MOTO
bitgem,BTG
ronpaulcoin,RPC
gameunits,UNITS
revolvercoin,XRE
philosopher-stones,PHS
x-coin,XCO
sixeleven,611
goldpieces,GP
octocoin,888
chronos,CRX
chesscoin,CHESS
catcoin,CAT
emerald,EMD
c-bit,XCT
macron,MCRN
tattoocoin,TSE
blakecoin,BLC
joulecoin,XJO
aricoin,ARI
c-bit,XCT
coin2-1,C2
swagbucks,BUCKS
bitcoinfast,BCF
teslacoin,TES
popularcoin,POP
phoenixcoin,PXC
spacecoin,SPACE
hobonickels,HBN
platinumbar,XPTX
purevidz,VIDZ
pakcoin,PAK
guncoin,GUN
kushcoin,KUSH
droxne,DRXNE
8bit,8BIT
opal,OPAL
the-cypherfunks,FUNK
pascal-lite,PASL
42-coin,42
canada-ecoin,CDN
piggycoin,PIGGY
ultracoin,UTC
kobocoin,KOBO
atomic-coin,ATOM
cream,CRM
machinecoin,MAC
bitcoin-scrypt,BTCS
netko,NETKO
procurrency,PROC
triangles,TRI
bata,BTA
kekcoin,KEK
lanacoin,LANA
growers-international,GRWI
kurrent,KURT
bitradio,BRO
insanecoin-insn,INSN
confido,CFD
incakoin,NKA
qubitcoin,Q2C
arcticcoin,ARC
digitalcoin,DGC
russiacoin,RC
i0coin,I0C
version,V
fastcoin,FST
smartcoin,SMC
trumpcoin,TRUMP
tittiecoin,TTC
leviarcoin,XLC
cryptogenic-bullion,CBX
inflationcoin,IFLT
interstellar-holdings,HOLD
litedoge,LDOGE
royal-kingdom-coin,RKC
posw-coin,POSW
smartbillions,SMART
mazacoin,MZC
dinastycoin,DCY
denarius-dnr,DNR
fujicoin,FJC
digitalprice,DP
karbowanec,KRB
terracoin,TRC
bonpay,BON
creativecoin,CREA
worldcoin,WDC
audiocoin,ADC
masternodecoin,MTNC
chaincoin,CHC
encryptotel,ETT
sexcoin,SXC
dnotes,NOTE
syndicate,SYNX
bitcloud,BTDX
novacoin,NVC
bitcoin-plus,XBC
zeitcoin,ZEIT
hush,HUSH
monacocoin,XMCC
bitmark,BTM
mothership,MSP
clams,CLAM
geocoin,GEO
heat-ledger,HEAT
okcash,OK
bitcore,BTX
nolimitcoin,NLC2
potcoin,POT
synereo,AMP
dimecoin,DIME
myriad,XMY
sibcoin,SIB
mintcoin,MINT
bitcoin-silver,BTCS
bestchain,BEST
namocoin,NAMO
sharkcoin,SAK
magnetcoin,MAGN
pluscoin,PLC
francs,FRN
skeincoin,SKC
topcoin,TOP
granitecoin,GRN
compcoin,CMP
ur,UR
wearesatoshi,WSX
animecoin,ANI
win-coin,WC
ox-fina,OX
magiccoin,MAGE
bitcedi,BXC
sakuracoin,SKR
elacoin,ELC
creatio,XCRE
cybercoin,CC
ecobit,ECOB
mojocoin,MOJO
swing,SWING
arcade-token,ARC
shacoin,SHA
boolberry,BBR
rubycoin,RBY
qwark,QWARK
fonziecoin,FONZ
ixcoin,IXC
scorecoin,SCORE
songcoin,SONG
gaia,GAIA
quatloo,QTL
gxshares,GXS
evotion,EVO
visio,VISIO
sphre-air,XID
bitbar,BTB
beavercoin,BVC
tigercoin,TGC
piecoin,PIE
deuscoin,DEUS
enigma-project,ENG
musiconomi,MCI
mustangcoin,MST
independent-money-system,IMS
dashcoin,DSH
jetcoin,JET
fazzcoin,FAZZ
electroneum,ETN
dibcoin,DIBC
coin,CNO
truckcoin,TRK
rchain,RHOC
pillar,PLR
terranova,TER
halcyon,HAL
beatcoin,XBTS
apx,APX
gaycoin,GAY
ratecoin,XRA
kittehcoin,MEOW
reddcoin,RDD
cryptcoin,CRYPT
nyancoin,NYAN
embercoin,EMB
casinocoin,CSC
infinitecoin,IFC
minex,MINEX
irishcoin,IRL
rabbitcoin,RBBT
everus,EVR
edrcoin,EDRC
encryptotel-eth,ETT
royalties,XRY
homeblockcoin,HBC
bongger,BGR
bitcoin-diamond,BCD
lightning-bitcoin,LBTC
kubera-coin,KBR
strikebitclub,SBC
adcoin,ACC
plexcoin,PLX
iquant,IQT
corion,COR
fireflycoin,FFC
rcoin,RCN
lepen,LEPEN
alphabitcoinfund,ABC
international-diamond,XID
batcoin,BAT
santa-coin,STC
nubits,USNBT
altcoin-alt,ALT
fantomcoin,FCN
titcoin,TIT
orbitcoin,ORB
lottocoin,LOT
rimbit,RBT
iticoin,ITI
goldreserve,XGR
prototanium,PR
berncash,BERN
kronecoin,KRONE
darsek,KED
securecoin,SRC
icoin,ICN
freicoin,FRC
ecocoin,ECO
spots,SPT
compucoin,CPN
namecoin,NMC
decent-bet,DBET
wild-crypto,WILD
primecoin,XPM
1337coin,1337
dcorp,DRP
bitdeal,BDL
starcredits,STRC
etheriya,RIYA
bitstar,BITS
aurumcoin,AU
cannacoin,CCN
deutsche-emark,DEM
colossuscoin-v2,CV2
evil-coin,EVIL
marscoin,MARS
unicoin,UNIC
bolivarcoin,BOLI
litebar,LTB
mineum,MNM
postcoin,POST
sativacoin,STV
blazecoin,BLZ
bumbacoin,BUMBA
parallelcoin,DUO
money,$$$
aquariuscoin,ARCO
jin-coin,JIN
tajcoin,TAJ
nevacoin,NEVA
300-token,300
megacoin,MEC
asiacoin,AC
